EQ_LATITUDE,EQ_LONGITUDE,Leg Day,Leg,Station Type,Sampling Date
60,-168,1,1,NBS Surface Trawl Station,8/28/2026
60,-169,1,1,NBS Surface Trawl Station,8/28/2026
60,-170,1,1,NBS Surface Trawl Station,8/28/2026
60,-171,2,1,NBS Surface Trawl Station,8/29/2026
60.5,-170,2,1,NBS Surface Trawl Station,8/29/2026
60.5,-171,2,1,NBS Surface Trawl Station,8/29/2026
60.5,-167,3,1,NBS Surface Trawl Station,8/30/2026
60.5,-168,3,1,NBS Surface Trawl Station,8/30/2026
60.5,-169,3,1,NBS Surface Trawl Station,8/30/2026
61,-167,4,1,NBS Surface Trawl Station,8/31/2026
61,-168,4,1,NBS Surface Trawl Station,8/31/2026
61,-169,4,1,NBS Surface Trawl Station,8/31/2026
61,-170,5,1,NBS Surface Trawl Station,9/1/2026
61,-171,5,1,NBS Surface Trawl Station,9/1/2026
61,-172,5,1,IERP Station,9/1/2026
61,-173,6,1,IERP Station,9/1/2026
61.5,-172,6,1,IERP Station,9/1/2026
61.5,-173,6,1,IERP Station,9/1/2026
61.5,-169,7,1,NBS Surface Trawl Station,9/2/2026
61.5,-170,7,1,NBS Surface Trawl Station,9/2/2026
61.5,-171,7,1,NBS Surface Trawl Station,9/2/2026
61.5,-167,8,1,NBS Surface Trawl Station,9/3/2026
61.5,-168,8,1,NBS Surface Trawl Station,9/3/2026
62,-167,8,1,NBS Surface Trawl Station,9/3/2026
62,-168,9,1,NBS Surface Trawl Station,9/4/2026
62,-169,9,1,NBS Surface Trawl Station,9/4/2026
62,-170,9,1,NBS Surface Trawl Station,9/4/2026
62,-171,10,1,NBS Surface Trawl Station,9/5/2026
62,-172,10,1,IERP Station,9/5/2026
62,-173,10,1,IERP Station,9/5/2026
62.5,-167,11,1,NBS Surface Trawl Station,9/6/2026
62.5,-168,11,1,NBS Surface Trawl Station,9/6/2026
62.5,-169,11,1,NBS Surface Trawl Station,9/6/2026
63,-166,1,2,NBS Surface Trawl Station,9/9/2026
63,-167,1,2,NBS Surface Trawl Station,9/9/2026
63.5,-166,1,2,NBS Surface Trawl Station,9/9/2026
62.5,-170,2,2,NBS Surface Trawl Station,9/10/2026
62.5,-171,2,2,NBS Surface Trawl Station,9/10/2026
62.5,-172,2,2,IERP Station,9/10/2026
62.194,-174.688,3,2,IERP Station,9/11/2026
62.5,-173,3,2,IERP Station,9/11/2026
62.6,-174,3,2,IERP Station,9/11/2026
63,-172,3,2,IERP Station,9/11/2026
63.5,-167,4,2,NBS Surface Trawl Station,9/12/2026
63.5,-168,4,2,NBS Surface Trawl Station,9/12/2026
64,-167,4,2,NBS Surface Trawl Station,9/12/2026
64,-168,5,2,NBS Surface Trawl Station,9/13/2026
64,-169,5,2,NBS Surface Trawl Station,9/13/2026
64.12,-170.17,5,2,IERP Station,9/13/2026
64.15,-171.53,6,2,IERP Station,9/14/2026
64.67,-169.97,6,2,IERP Station,9/14/2026
64.5,-168,7,2,NBS Surface Trawl Station,9/15/2026
64.5,-169,7,2,NBS Surface Trawl Station,9/15/2026
64.99,-169.14,7,2,IERP Station,9/15/2026
64,-166,8,2,NBS Surface Trawl Station,9/16/2026
64.5,-167,8,2,NBS Surface Trawl Station,9/16/2026
65,-168,8,2,NBS Surface Trawl Station,9/16/2026
64.096,-162.528,9,2,NBS Surface Trawl Station,9/17/2026
64.099,-163.539,9,2,NBS Surface Trawl Station,9/17/2026
64.104,-164.439,9,2,NBS Surface Trawl Station,9/17/2026
