Station,Label,Latitude,Longitude
1,UAF Station,63.3,-168.58
2,UAF Station,62.35,-166.65
3,UAF Station,62.5,-167
4,UAF Station,62.75,-167.5
5,UAF Station,63,-168
6,UAF Station,63,-170
7,UAF Station,61,-170
8,UAF Station,61.5,-170
9,UAF Station,62,-170
10,UAF Station,62.5,-170
11,UAF Station,63.15,-171.07
12,UAF Station,63,-172
13,UAF Station,61,-172
14,UAF Station,61.5,-172
15,UAF Station,62,-172
16,UAF Station,62.5,-172
18,DBO,63.604,-172.591
18,UAF Station,61.75,-175.3
19,Moorings,62.19,-174.69
20,UAF Station,62.6,-174
21,DBO,63.03,-173.46
22,DBO,63.28,-173.08
23,Moorings,64.15,-171.53
24,Moorings,63.75,-170.5
25,DBO,64.96,-169.89
26,UAF Station,64.12,-170.17
27,UAF Station,64.41,-170.05
28,DBO,64.67,-169.97
29,DBO,65,-168.22
30,DBO,64.99,-169.14
