Type,DesignType,Latdd,Londd,Lat_Deg,Lat_Min,Lon_Deg,Lon_Min,Operation
BASIS,AdaptTrawl,55.5,-166,55,30,-166,0,CTD/BON/TRAWL
BASIS,Ocean,55.5,-165,55,30,-165,0,CTD/BON
BASIS,CoreTrawl,55.5,-164,55,30,-164,0,CTD/BON/TRAWL
BASIS,AdaptTrawl,56,-167,56,0,-167,0,CTD/BON/TRAWL
BASIS,Ocean,56,-166,56,0,-166,0,CTD/BON
BASIS,CoreTrawl,56,-165,56,0,-165,0,CTD/BON/TRAWL
BASIS,Ocean,56,-164,56,0,-164,0,CTD/BON
BASIS,CoreTrawl,56,-163,56,0,-163,0,CTD/BON/TRAWL
BASIS,Ocean,56.5,-169,56,30,-169,0,CTD/BON
BASIS,AdaptTrawl,56.5,-168,56,30,-168,0,CTD/BON/TRAWL
BASIS,Ocean,56.5,-167,56,30,-167,0,CTD/BON
BASIS,CoreTrawl,56.5,-166,56,30,-166,0,CTD/BON/TRAWL
BASIS,Ocean,56.5,-165,56,30,-165,0,CTD/BON
BASIS,CoreTrawl,56.5,-164,56,30,-164,0,CTD/BON/TRAWL
BASIS,Ocean,56.5,-163,56,30,-163,0,CTD/BON
BASIS,CoreTrawl,56.5,-162,56,30,-162,0,CTD/BON/TRAWL
BASIS,AdaptTrawl,57,-171,57,0,-171,0,CTD/BON/TRAWL
BASIS,Ocean,57,-170,57,0,-170,0,CTD/BON
BASIS,CoreTrawl,57,-169,57,0,-169,0,CTD/BON/TRAWL
BASIS,Ocean,57,-168,57,0,-168,0,CTD/BON
BASIS,CoreTrawl,57,-167,57,0,-167,0,CTD/BON/TRAWL
BASIS,Ocean,57,-166,57,0,-166,0,CTD/BON
BASIS,CoreTrawl,57,-165,57,0,-165,0,CTD/BON/TRAWL
BASIS,Ocean,57,-164,57,0,-164,0,CTD/BON
BASIS,CoreTrawl,57,-163,57,0,-163,0,CTD/BON/TRAWL
BASIS,Ocean,57,-162,57,0,-162,0,CTD/BON
BASIS,AdaptTrawl,57,-161,57,0,-161,0,CTD/BON/TRAWL
